,Unnamed: 0,ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
110,24910,0x403f,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520251671107
111,18869,0x69e4,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.520251669677
112,24136,0x2c63,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520251669677
113,45284,0x649f,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251669677
114,31420,0x1b80,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251668342
115,4202,0xc398,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251668342
116,2239,0x2088,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.520251668342
117,18841,0x2742,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251668342
118,14875,0xb3b5,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251666898
119,1412,0x4326,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.520251666898
120,37585,0x9579,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.520251666898
121,20496,0x4ead,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.52025139077
122,6612,0x64d,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.52025139077
123,36147,0xddd3,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.52025139077
124,5679,0x6754,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.52025139077
125,3560,0xa1ad,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.52025139077
126,6186,0x3b2d,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
127,20082,0x5c2f,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.52025139077
128,5878,0x6f59,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.52025139077
129,14518,0xaa98,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.52025139077
130,4097,0x8ccd,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.52025139077
131,25308,0xaba,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.52025139077
132,36285,0x3dca,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.52025139077
133,26073,0xd029,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.52025139077
134,25577,0xb1b,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520251342885
135,43567,0x82c2,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.520251342885
136,6871,0x9ba,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.520251342885
137,21350,0xbb66,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.520251342885
138,8231,0x9226,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.520251342885
139,12969,0xacf4,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.520251342885
140,3635,0xae3b,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.520251342885
141,3096,0x574e,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.520251342885
142,24580,0xae4d,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.520251342885
143,12617,0x21e9,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.520251332953
144,29712,0x8234,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.520251332953
145,39750,0xae59,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.520251332953
146,26814,0xb8fb,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
147,40013,0x33ea,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.520251332953
148,8450,0x3afb,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.520251332953
149,32266,0xc441,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.520251332953
150,33278,0xc9aa,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.520251332953
151,6914,0xa34,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.520251332953
152,39416,0xa32e,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.520251332953
153,21502,0x8fec,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520251332953
154,45394,0xa735,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
155,14447,0x799,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
156,4342,0x278c,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
157,4998,0x76fe,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.520251332742
158,20649,0x96b8,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520251332742
159,6898,0x1919,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251332742
160,24184,0x6e76,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332742
161,10065,0x404d,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.520251332742
162,35279,0x774a,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
163,24015,0x2ac1,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.520251332742
164,21245,0x1777,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.520251332742
165,26135,0x910f,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520251332742
166,43882,0x9b35,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520251332742
167,32614,0xbc1f,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.520251332742
168,36548,0xc0c1,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.520251332742
169,20166,0xc85b,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.520251332055
170,7722,0x51de,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.520251332055
171,19293,0x3dc3,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520251332055
172,1357,0x4769,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520251332055
173,21998,0x29b3,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.520251332055
174,2525,0x48bf,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.520251332055
175,13282,0x2ce3,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.520251332055
176,9027,0x43a8,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.520251332055
177,35870,0x8c19,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.520251332055
178,30633,0xbfc3,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.520251332055
179,39357,0xc747,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.520251332055
180,18392,0x28f3,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
181,16993,0x951d,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.520251332055
182,25285,0x1ce6,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.520251332055
183,35185,0x92c8,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.520251329926
184,44949,0xa4f1,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520251329926
185,21046,0xdd15,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.520251329926
186,37365,0xbd48,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520251329926
187,43043,0x26fe,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251329926
188,28095,0x4696,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.520251329926
189,8133,0x2b3e,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.520251329926
190,5306,0x6a16,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.520251329926
191,2577,0x7906,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.520251329926
192,41623,0xd07d,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251329926
193,44466,0xa533,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329926
194,7978,0x8715,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520251329177
195,20794,0x2110,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.520251329177
196,5421,0x605c,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.520251329177
197,14883,0x280e,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.520251329177
198,8982,0xdf3,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.520251329177
199,30634,0xd7d2,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.520251329177
200,7409,0x85bd,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251329177
201,12507,0x1147,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.520251329177
202,251,0xe76,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251329177
203,35570,0x6cab,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251329177
204,12083,0x5686,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520251329177
205,36010,0x897c,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.520251329177
206,4819,0xd77c,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.520251329177
207,34442,0xd2db,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520251327653
208,19652,0x3468,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251327653
209,20966,0x834f,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251327653
210,26389,0x7881,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.520251327653
211,20417,0x3800,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.520251327653
212,40484,0x7bac,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
213,35120,0x939c,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.520251327653
214,8860,0x735e,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.520251327653
215,26354,0x52a5,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
216,32645,0xdfb2,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520251327653
217,29368,0x8bf7,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251327653
218,31751,0xb71b,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
219,45051,0xcc9f,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251320853
220,542,0xa8b9,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.520251320853
221,3852,0xbd41,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.520251320853
222,12033,0x842c,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251320853
223,6002,0x82e0,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
224,5198,0x5daf,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.520251320853
